limit_bal,sex,education,marriage,age,pay_1,pay_2,bill_amt1,bill_amt2,pay_amt1,pay_amt2,default_payment_next_month,age_range,age_range_int,sum_pay,mean_bill,mean_pay_amt
20000,2,2.0,1.0,24,2,2,3913,3102,0,689,1,23-25,19,-2,7704.0,689.0
120000,2,2.0,2.0,26,-1,2,2682,1725,0,1000,1,25-26,6,3,17077.0,5000.0
90000,2,2.0,2.0,34,0,0,29239,14027,1518,1500,0,33-34,5,0,101653.0,11018.0
50000,2,2.0,1.0,37,0,0,46990,48233,2000,2019,0,35-37,13,0,231334.0,8388.0
50000,1,2.0,1.0,57,-1,0,8617,5670,2000,36681,0,53-79,18,-2,109339.0,59049.0
50000,1,1.0,2.0,37,0,0,64400,57069,2500,1815,0,35-37,13,0,238114.0,7772.0
500000,1,1.0,2.0,29,0,0,367965,412023,55000,40000,0,28-29,3,0,2724595.0,180759.0
100000,2,2.0,2.0,23,0,-1,11876,380,380,601,0,21-23,20,-3,13486.0,4791.0
140000,2,3.0,1.0,28,0,0,11285,14096,3329,0,0,27-28,7,2,65212.0,6761.0
20000,1,3.0,2.0,35,-2,-2,0,0,0,0,0,34-35,8,-10,26919.0,14129.0
200000,2,3.0,2.0,34,0,0,11073,9787,2306,12,0,33-34,5,1,34467.0,6472.0
260000,2,1.0,2.0,51,-1,-1,12261,21670,21818,9966,0,49-53,17,-3,88369.0,66308.0
630000,2,2.0,2.0,41,-1,0,12137,6500,1000,6500,0,40-41,12,-5,41007.0,23370.0
70000,1,2.0,2.0,30,1,2,65802,67369,3200,0,1,29-30,4,7,338685.0,10700.0
250000,1,1.0,2.0,29,0,0,70887,67060,3000,3000,0,28-29,3,0,373591.0,18000.0
50000,2,3.0,,23,1,2,50614,29173,0,1500,0,21-23,20,3,196416.0,6200.0
20000,1,1.0,2.0,24,0,0,15376,18010,3200,0,1,23-25,19,8,106161.0,6350.0
320000,1,1.0,1.0,49,0,0,253286,246536,10358,10000,0,46-49,16,-3,966014.0,361897.0
360000,2,1.0,1.0,49,1,-2,0,0,0,0,0,46-49,16,-9,0.0,0.0
180000,2,1.0,2.0,29,1,-2,0,0,0,0,0,28-29,3,-9,0.0,0.0
130000,2,3.0,2.0,39,0,0,38358,27688,3000,1537,0,38-40,10,-1,123883.0,42231.0
120000,2,2.0,1.0,39,-1,-1,316,316,316,316,1,38-40,10,-6,1896.0,1580.0
70000,2,2.0,2.0,26,2,0,41087,42445,2007,3582,1,25-26,6,8,265475.0,11010.0
450000,2,1.0,1.0,40,-2,-2,5512,19420,19428,1473,1,38-40,10,-12,26965.0,22589.0
90000,1,1.0,2.0,23,0,0,4744,7070,5757,0,0,21-23,20,-1,31864.0,16400.0
50000,1,3.0,2.0,23,0,0,47620,41810,1973,1426,0,21-23,20,0,214295.0,7891.0
60000,1,1.0,2.0,27,1,-2,-109,-425,0,1000,1,26-27,11,-5,-394.0,2500.0
50000,2,3.0,2.0,30,0,0,22541,16138,1300,1300,0,29-30,4,0,112268.0,7112.0
50000,2,3.0,1.0,47,-1,-1,650,3415,3415,3421,0,46-49,16,-6,40208.0,39567.0
50000,1,1.0,2.0,26,0,0,15329,16575,1500,1500,0,25-26,6,0,97082.0,6600.0
230000,2,1.0,2.0,27,-1,-1,16646,17265,17270,13281,0,26-27,11,-6,113746.0,97489.0
50000,1,2.0,2.0,33,2,0,30518,29618,1718,1500,1,31-33,2,2,151869.0,6934.0
100000,1,1.0,2.0,32,0,0,93036,84071,3023,3511,0,31-33,2,0,495237.0,18744.0
500000,2,2.0,1.0,54,-2,-2,10929,4152,4152,22827,0,53-79,18,-12,125744.0,158502.0
500000,1,1.0,1.0,58,-2,-2,13709,5006,5006,31178,0,53-79,18,-12,58318.0,45425.0
160000,1,1.0,2.0,30,-1,-1,30265,-131,131,396,0,29-30,4,-9,25312.0,2280.0
280000,1,2.0,1.0,40,0,0,186503,181328,8026,8060,0,38-40,10,0,1069977.0,41923.0
60000,2,2.0,2.0,22,0,0,15054,9806,1500,1518,0,21-23,20,-1,32279.0,53349.0
50000,1,1.0,2.0,25,1,-1,0,780,780,0,1,23-25,19,-7,780.0,780.0
280000,1,1.0,2.0,31,-1,-1,498,9075,9075,0,0,30-31,1,-2,51643.0,37357.0
360000,1,1.0,2.0,33,0,0,218668,221296,10000,7000,0,31-33,2,0,1650751.0,243840.0
70000,2,1.0,2.0,25,0,0,67521,66999,3000,4500,0,23-25,19,0,392856.0,19342.0
10000,1,2.0,2.0,22,0,0,1877,3184,1500,2927,0,21-23,20,0,22761.0,7227.0
